game_name,drawing_date,number_drawn
Powerball,8/14/2013,51
Powerball,8/17/2013,18
Powerball,8/17/2013,54
Powerball,8/17/2013,56
Powerball,8/17/2013,21
Powerball,8/17/2013,46
Powerball,8/21/2013,30
Powerball,8/21/2013,48
Powerball,8/21/2013,42
Powerball,8/21/2013,46
Powerball,8/21/2013,40
Powerball,8/24/2013,45
Powerball,8/24/2013,17
Powerball,8/24/2013,59
Powerball,8/24/2013,12
Powerball,8/24/2013,25
Powerball,8/28/2013,32
Powerball,8/28/2013,19
Powerball,8/28/2013,7
Powerball,8/28/2013,9
Powerball,8/28/2013,6
Powerball,8/31/2013,40
Powerball,8/31/2013,25
Powerball,8/31/2013,7
Powerball,8/31/2013,56
Powerball,8/31/2013,2
Powerball,9/4/2013,2
Powerball,9/4/2013,45
Powerball,9/4/2013,26
Powerball,9/4/2013,9
Powerball,9/4/2013,47
Powerball,9/7/2013,2
Powerball,9/7/2013,22
Powerball,9/7/2013,19
Powerball,9/7/2013,45
Powerball,9/7/2013,26
Powerball,9/11/2013,19
Powerball,9/11/2013,33
Powerball,9/11/2013,42
Powerball,9/11/2013,52
Powerball,9/11/2013,11
Powerball,9/14/2013,1
Powerball,9/14/2013,25
Powerball,9/14/2013,44
Powerball,9/14/2013,17
Powerball,9/14/2013,37
Powerball,9/18/2013,7
Powerball,9/18/2013,10
Powerball,9/18/2013,35
Powerball,9/18/2013,32
Powerball,9/18/2013,22
Powerball,9/21/2013,58
Powerball,9/21/2013,54
Powerball,9/21/2013,45
Powerball,9/21/2013,17
Powerball,9/21/2013,12
Powerball,9/25/2013,49
Powerball,9/25/2013,7
Powerball,9/25/2013,17
Powerball,9/25/2013,53
Powerball,9/25/2013,2
Powerball,9/28/2013,47
Powerball,9/28/2013,53
Powerball,9/28/2013,14
Powerball,9/28/2013,52
Powerball,9/28/2013,54
Powerball,10/2/2013,6
Powerball,10/2/2013,51
Powerball,10/2/2013,42
Powerball,10/2/2013,4
Powerball,10/2/2013,25
Powerball,10/5/2013,11
Powerball,10/5/2013,39
Powerball,10/5/2013,40
Powerball,10/5/2013,17
Powerball,10/5/2013,12
Powerball,10/9/2013,9
Powerball,10/9/2013,38
Powerball,10/9/2013,3
Powerball,10/9/2013,33
Powerball,10/9/2013,19
Powerball,10/12/2013,10
Powerball,10/12/2013,58
Powerball,10/12/2013,26
Powerball,10/12/2013,57
Powerball,10/12/2013,8
Powerball,10/16/2013,3
Powerball,10/16/2013,42
Powerball,10/16/2013,26
Powerball,10/16/2013,34
Powerball,10/16/2013,28
Powerball,10/19/2013,33
Powerball,10/19/2013,9
Powerball,10/19/2013,56
Powerball,10/19/2013,54
Powerball,10/19/2013,57
Powerball,10/23/2013,47
Powerball,10/23/2013,34
Powerball,10/23/2013,23
Powerball,10/23/2013,31
Powerball,10/23/2013,3
Powerball,10/26/2013,56
