game_name,drawing_date,number_drawn
Mega Millions,4/26/2013,49
Mega Millions,4/30/2013,49
Mega Millions,4/30/2013,39
Mega Millions,4/30/2013,21
Mega Millions,4/30/2013,34
Mega Millions,4/30/2013,30
Mega Millions,5/3/2013,54
Mega Millions,5/3/2013,2
Mega Millions,5/3/2013,42
Mega Millions,5/3/2013,34
Mega Millions,5/3/2013,20
Mega Millions,5/7/2013,1
Mega Millions,5/7/2013,20
Mega Millions,5/7/2013,13
Mega Millions,5/7/2013,51
Mega Millions,5/7/2013,6
Mega Millions,5/10/2013,20
Mega Millions,5/10/2013,49
Mega Millions,5/10/2013,1
Mega Millions,5/10/2013,39
Mega Millions,5/10/2013,19
Mega Millions,5/14/2013,12
Mega Millions,5/14/2013,32
Mega Millions,5/14/2013,6
Mega Millions,5/14/2013,28
Mega Millions,5/14/2013,10
Mega Millions,5/17/2013,35
Mega Millions,5/17/2013,11
Mega Millions,5/17/2013,49
Mega Millions,5/17/2013,43
Mega Millions,5/17/2013,15
Mega Millions,5/21/2013,55
Mega Millions,5/21/2013,15
Mega Millions,5/21/2013,48
Mega Millions,5/21/2013,2
Mega Millions,5/21/2013,17
Mega Millions,5/24/2013,4
Mega Millions,5/24/2013,16
Mega Millions,5/24/2013,5
Mega Millions,5/24/2013,53
Mega Millions,5/24/2013,18
Mega Millions,5/28/2013,25
Mega Millions,5/28/2013,4
Mega Millions,5/28/2013,32
Mega Millions,5/28/2013,54
Mega Millions,5/28/2013,12
Mega Millions,5/31/2013,44
Mega Millions,5/31/2013,26
Mega Millions,5/31/2013,20
Mega Millions,5/31/2013,46
Mega Millions,5/31/2013,2
Mega Millions,6/4/2013,11
Mega Millions,6/4/2013,20
Mega Millions,6/4/2013,55
Mega Millions,6/4/2013,10
Mega Millions,6/4/2013,12
Mega Millions,6/7/2013,37
Mega Millions,6/7/2013,1
Mega Millions,6/7/2013,55
Mega Millions,6/7/2013,48
Mega Millions,6/7/2013,10
Mega Millions,6/11/2013,45
Mega Millions,6/11/2013,40
Mega Millions,6/11/2013,15
Mega Millions,6/11/2013,50
Mega Millions,6/11/2013,53
Mega Millions,6/14/2013,2
Mega Millions,6/14/2013,34
Mega Millions,6/14/2013,5
Mega Millions,6/14/2013,31
Mega Millions,6/14/2013,33
Mega Millions,6/18/2013,6
Mega Millions,6/18/2013,17
Mega Millions,6/18/2013,34
Mega Millions,6/18/2013,48
Mega Millions,6/18/2013,40
Mega Millions,6/21/2013,3
Mega Millions,6/21/2013,50
Mega Millions,6/21/2013,40
Mega Millions,6/21/2013,17
Mega Millions,6/21/2013,14
Mega Millions,6/25/2013,3
Mega Millions,6/25/2013,5
Mega Millions,6/25/2013,28
Mega Millions,6/25/2013,33
Mega Millions,6/25/2013,51
Mega Millions,6/28/2013,8
Mega Millions,6/28/2013,52
Mega Millions,6/28/2013,46
Mega Millions,6/28/2013,35
Mega Millions,6/28/2013,15
Mega Millions,7/2/2013,52
Mega Millions,7/2/2013,53
Mega Millions,7/2/2013,42
Mega Millions,7/2/2013,36
Mega Millions,7/2/2013,51
Mega Millions,7/5/2013,23
Mega Millions,7/5/2013,41
Mega Millions,7/5/2013,47
Mega Millions,7/5/2013,54
